"SMILES","Molecular Weight","Polar Area","Complexity","XLogP","Heavy Atom Count","H-Bond Donor Count","H-Bond Acceptor Count","Rotatable Bond Count","Exact Mass","Monoisotopic Mass","Charge","Covalent Unit Count","Isotopic Atom Count","Total Atom Stereo Count","Defined Atom Stereo Count","Undefined Atom Stereo Count","Total Bond Stereo Count","Defined Bond Stereo Count","B","Br","C","Cl","F","H","I","N","Na","O","P","S","Si"
"CNC(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4",463,52.6,595,4.8,33,2,3,7,462.207,462.207,0,1,0,0,0,0,0,0,0,0,28,1,0,31,0,2,0,2,0,0,0
"CNCC1CCCCC1(C2=CC(=CC=C2)OC)O",249.35,41.5,259,2.7,18,2,3,4,249.173,249.173,0,1,0,2,0,2,0,0,0,0,15,0,0,23,0,1,0,2,0,0,0
"CN/C(=N/[N+](=O)[O-])/NCC1=CN=C(S1)Cl",249.68,123,258,1.3,15,2,5,4,249.009,249.009,0,1,0,0,0,0,1,1,0,0,6,1,0,8,0,5,0,2,0,1,0
"C1CN(CCN1)C2=NC=CC=N2",164.21,41.1,127,0,12,1,4,1,164.106,164.106,0,1,0,0,0,0,0,0,0,0,8,0,0,12,0,4,0,0,0,0,0
"CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCNCC)I",617.3,51.5,508,6.7,29,1,4,10,616.992,616.992,0,1,0,0,0,0,0,0,0,0,23,0,0,25,2,1,0,3,0,0,0
"C1=CC=C2C(=C1)N=C3N2C(=O)NC(=O)N3",202.17,76,319,0.7,15,2,3,0,202.049,202.049,0,1,0,0,0,0,0,0,0,0,9,0,0,6,0,4,0,2,0,0,0
"CNC1=NC(=O)N(C(=O)N1C)C2CCCCC2",238.29,65,360,1.1,17,1,2,2,238.143,238.143,0,1,0,0,0,0,0,0,0,0,11,0,0,18,0,4,0,2,0,0,0
"C1=NNC(=C1C(=O)O)C(F)F",162.09,66,165,0.4,11,2,5,2,162.024,162.024,0,1,0,0,0,0,0,0,0,0,5,0,2,4,0,2,0,2,0,0,0
"CC1=CN=C(C(=C1OC)C)CSC2=NC3=C(N2)C=C(C=C3)OC",329.4,85.3,387,3.5,23,1,5,5,329.12,329.12,0,1,0,0,0,0,0,0,0,0,17,0,0,19,0,3,0,2,0,1,0
"CC1=CN=C(C(=C1OC)C)CS(=O)(=O)C2=NC3=C(N2)C=C(C=C3)OC",361.4,103,553,2.2,25,1,6,5,361.11,361.11,0,1,0,0,0,0,0,0,0,0,17,0,0,19,0,3,0,4,0,1,0
"CC(C)NC[C@@H](COC1=CC=C(C=C1)O)O",225.28,61.7,179,1.4,16,3,4,6,225.136,225.136,0,1,0,1,1,0,0,0,0,0,12,0,0,19,0,1,0,3,0,0,0
"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C",245.28,52.7,397,0,18,1,3,2,245.116,245.116,0,1,0,0,0,0,0,0,0,0,13,0,0,15,0,3,0,2,0,0,0
"CCOC(=O)NC1=CC(=CC=C1)O",181.19,58.6,172,1.9,13,2,3,3,181.074,181.074,0,1,0,0,0,0,0,0,0,0,9,0,0,11,0,1,0,3,0,0,0
"C1C(=O)NC2=C(C=C(C=C2)Cl)N(C1=O)C3=CC=CC=C3",286.71,49.4,395,1.9,20,1,2,1,286.051,286.051,0,1,0,0,0,0,0,0,0,0,15,1,0,11,0,2,0,2,0,0,0
"CC(C)NC(=O)NC1=CC=CC=C1",178.23,41.1,162,1.9,13,2,1,2,178.111,178.111,0,1,0,0,0,0,0,0,0,0,10,0,0,14,0,2,0,1,0,0,0
"C1(=NC(=O)NC(=O)N1)N",128.09,96.6,196,-1.5,9,3,2,0,128.033,128.033,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,2,0,0,0
"C[C@H](C(=O)O)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl",333.72,81.8,415,3.4,23,1,6,5,333.04,333.04,0,1,0,1,1,0,0,0,0,0,16,1,0,12,0,1,0,5,0,0,0
"C1=CC(=CC=C1C(CC(=O)O)N)Cl",199.63,63.3,178,-0.8,13,2,3,3,199.04,199.04,0,1,0,1,0,1,0,0,0,0,9,1,0,10,0,1,0,2,0,0,0
"C(=O)C(C(=O)O)O",104.06,74.6,86.9,-1.1,7,2,4,2,104.011,104.011,0,1,0,1,0,1,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0
"C1=CC(=CC=C1O)OC2=NC=C(C=C2)C(F)(F)F",255.19,42.4,265,2.6,18,1,6,2,255.051,255.051,0,1,0,0,0,0,0,0,0,0,12,0,3,8,0,1,0,2,0,0,0
"C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=CC=C3",252.35,15.3,230,2.8,19,1,2,3,252.163,252.163,0,1,0,0,0,0,0,0,0,0,17,0,0,20,0,2,0,0,0,0,0
"C1=CNC(=O)N1",84.08,41.1,87,-0.9,6,2,1,0,84.0324,84.0324,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,2,0,1,0,0,0
"CN1C=C(C(=N1)C(F)F)C(=O)O",176.12,55.1,188,0.4,12,1,5,2,176.04,176.04,0,1,0,0,0,0,0,0,0,0,6,0,2,6,0,2,0,2,0,0,0
"C1=NNC(=O)C(=C1N)Cl",145.55,67.5,208,-0.3,9,2,3,0,145.004,145.004,0,1,0,0,0,0,0,0,0,0,4,1,0,4,0,3,0,1,0,0,0
